temperature,amount_crystalized
10.0,39
10.0,31
10.0,31
10.0,36
10.0,25
10.0,34
10.0,35
10.0,33
10.0,30
10.0,35
100.0,29
100.0,35
100.0,35
100.0,35
100.0,26
100.0,34
100.0,33
100.0,29
100.0,36
100.0,34
150.0,34
150.0,30
150.0,32
150.0,24
150.0,39
150.0,29
150.0,24
150.0,32
150.0,33
150.0,30
200.0,29
200.0,32
200.0,37
200.0,34
200.0,31
200.0,35
200.0,34
200.0,31
200.0,31
200.0,35
250.0,35
250.0,34
250.0,28
250.0,28
250.0,30
250.0,29
250.0,27
250.0,33
250.0,27
250.0,31
300.0,35
300.0,35
300.0,32
300.0,26
300.0,31
300.0,28
300.0,31
300.0,31
300.0,27
300.0,28
350.0,33
350.0,35
350.0,31
350.0,36
350.0,30
350.0,31
350.0,25
350.0,32
350.0,32
350.0,31
400.0,31
400.0,25
400.0,38
400.0,30
400.0,31
400.0,27
400.0,28
400.0,28
400.0,30
400.0,30
450.0,31
450.0,28
450.0,35
450.0,34
450.0,23
450.0,20
450.0,33
450.0,31
450.0,26
450.0,28
500.0,28
500.0,35
500.0,36
500.0,0
500.0,30
500.0,33
500.0,32
500.0,22
500.0,15
500.0,28
